GENERO;RENTA;EDAD;TOTAL_DEUDA;M_MOROSO;MONTO
M;746476;39;483865;2;2000000
F;11901;49;48;1;7500000
M;1651421;39;633906;1;8000000
F;638969;36;204322;1;2600000
M;860113;44;86326;1;6400000
M;329463;40;200459;2;7700000
M;28732;45;1111277;1;2900000
F;11563;41;667132;1;2100000
F;3044549;33;102122;1;1600000
F;3632707;39;610326;1;2800000
F;2904507;46;2636225;1;3700000
F;81895;37;71098;1;1900000
M;525874;48;223977;1;1900000
M;63148;43;343811;1;4800000
F;2620751;39;854616;0;3300000
M;35296;40;181;1;1900000
M;28267;45;708025;3;4000000
M;808822;44;14390;2;4500000
M;47223;54;9327;1;4800000
F;23976;41;125037;1;1800000
F;19886;54;301402;1;700000
F;560302;47;9;1;2400000
M;9394;51;470810;1;1100000
M;537818;29;104474;1;2200000
F;248276;49;733415;1;1100000
F;226727;29;555156;1;1000000
M;581593;46;693396;0;8000000
M;171798;52;102666;1;2200000
M;1714426;43;212032;1;4200000
F;14423;39;678570;3;8000000
M;1126011;37;550657;0;8000000
M;26796;41;1093230;2;3500000
F;249559;27;228935;1;3700000
M;2508956;44;2365610;3;4600000
M;147751;46;175911;1;1700000
M;234552;52;313;1;2200000
F;189901;46;165758;1;2000000
M;1233336;44;210009;2;3000000
M;22984;46;227310;1;5400000
F;200685;51;1812019;2;800000
F;292141;27;36124;0;4000000
M;582881;28;178330;2;1400000
M;41095;40;875208;1;1900000
F;247458;49;534490;1;900000
M;123985;49;397629;1;3400000
M;4973;54;146995;1;2000000
F;2170313;38;431873;1;8000000
M;628289;47;344163;2;3400000
M;34232;45;415860;2;1300000
M;625999;55;2840;1;5700000
M;27754;46;1505114;1;4100000
M;213994;40;2525886;3;1900000
F;53632;53;49;0;8000000
F;6878013;26;230794;1;1600000
M;12215;55;374952;1;3300000
M;818993;44;1291815;1;1400000
M;456419;29;257164;0;1700000
M;2186611;49;5184402;2;8000000
F;19520;52;9391;1;1800000
M;40575;46;1866909;2;4600000
M;4539866;44;229327;1;4200000
M;2823360;43;886972;1;5000000
M;299679;50;344010;1;7200000
F;136906;35;344295;1;2400000
M;352529;26;239941;1;600000
M;1001768;40;2765468;2;6900000
M;846188;40;1568459;2;4400000
M;14787;44;650804;1;2100000
M;748468;40;313703;2;1300000
F;6190393;37;401490;1;1700000
M;94563;47;60997;1;2200000
F;276824;57;397007;1;3200000
M;566334;45;207205;1;1700000
M;279245;44;86087;2;3200000
M;288328;44;537603;2;900000
M;113021;44;61822;0;2400000
M;5363140;44;244881;2;900000
M;229710;28;285064;1;1800000
M;473025;42;115174;1;8000000
M;491374;60;195717;0;3700000
M;2251807;30;1189799;1;8000000
F;1851839;37;448682;0;3900000
F;42526;29;351764;1;1900000
M;290261;28;601502;1;1900000
M;1690612;32;587762;0;8000000
M;2717617;44;536141;2;550000
M;1387024;53;3485;2;8000000
F;646488;47;189290;2;8000000
M;701143;43;787251;3;2600000
F;481863;57;92770;1;2400000
F;72123;36;1404756;1;1100000
M;4995;41;788120;1;7200000
F;71843;46;597742;1;6100000
F;517060;55;216755;1;2200000
F;880921;27;100948;1;4800000
M;476431;45;30155;1;1900000
M;37759;46;15;1;1800000
M;2280308;52;1259349;2;8000000
F;34909;39;176104;1;1400000
M;510623;55;949742;1;3300000
F;27172;62;290613;1;700000
M;68573;45;485831;2;3100000
M;1136608;42;793798;2;8000000
F;487599;30;1744;1;2500000
F;54942;47;3372075;1;8000000
M;382787;46;1050541;1;3300000
M;313480;33;336;1;900000
M;490012;52;746880;2;800000
F;477794;46;687078;1;3900000
M;720043;53;1141638;1;7300000
M;35063;31;606502;0;3500000
F;58762;52;424555;2;900000
M;330251;40;195569;2;2600000
F;131346;49;376122;1;4500000
M;8362439;44;836394;2;3200000
F;630734;45;125665;2;4800000
F;13130;53;1610681;1;8000000
M;24934;54;1339841;1;1600000
M;34004;40;476338;1;2300000
M;425823;41;316227;1;2000000
M;2981;50;193019;1;4400000
M;2839338;44;2174096;1;5400000
M;413261;39;520447;1;1500000
M;365138;41;818483;2;3900000
M;883985;40;1771360;2;700000
M;173451;30;70239;1;1400000
F;20084;50;1332767;1;8000000
M;144015;39;98413;1;5100000
F;558058;45;103384;1;700000
M;779386;48;363298;2;3600000
F;863012;30;424986;1;5500000
F;486003;34;696826;1;600000
M;251542;52;425;1;2200000
M;5769103;44;367588;1;3400000
F;27483;56;1078610;1;7900000
F;124040;50;387854;1;2800000
F;87854;34;344919;1;4200000
M;136704;40;249299;2;1700000
M;1663762;47;317361;1;8000000
M;1300789;52;657903;1;8000000
M;488478;45;205689;1;2200000
M;697230;33;19996;1;2200000
M;519811;37;444022;1;4500000
M;3586;45;74234;1;6000000
M;624021;47;1532045;2;2400000
F;636035;34;547867;0;3500000
M;109980;35;47586;1;1600000
F;486653;53;107117;3;8000000
M;686641;40;347401;2;1400000
F;296519;50;1455;1;1900000
M;1747096;64;350407;2;8000000
F;1291628;51;68555;3;8000000
M;363666;55;103744;1;4600000
F;444782;26;1711;1;1800000
F;2122;47;200576;1;650000
F;126114;27;128820;0;1700000
F;875750;33;397661;1;4700000
F;764461;53;907441;1;5000000
M;560529;48;344514;1;2600000
M;42036;55;1028358;1;5800000
M;1385344;35;2618282;1;5100000
M;352410;30;315370;2;1700000
F;506780;41;10;0;2100000
F;3708456;28;2407;1;2000000
M;553960;37;2141;1;4500000
F;26420;50;2351820;0;8000000
M;2805283;42;2253938;1;8000000
M;734582;40;345261;1;3100000
F;104793;48;341398;0;2700000
F;68405;32;489992;1;1900000
M;449696;53;137246;1;3500000
M;166128;42;2795;1;2800000
F;1546277;31;325956;1;2300000
M;4796337;43;275293;3;1300000
M;511493;47;446310;2;1800000
F;1159911;35;330674;1;2000000
M;237667;51;1132235;2;800000
M;277757;49;98;1;2300000
M;646399;50;276042;3;2600000
F;5645;44;129178;2;3400000
M;242897;31;327727;1;2300000
M;1227273;38;6;1;7500000
M;1681477;46;1853268;1;3700000
M;698435;55;1228015;1;4500000
M;842371;35;25168;1;8000000
F;230970;42;6320;1;1600000
M;305258;24;37076;1;1600000
F;1480598;36;197;1;8000000
F;178946;25;247336;1;2600000
M;728288;46;733406;3;6300000
F;2441832;37;395469;3;650000
M;158529;52;134750;2;1000000
F;412466;49;120371;1;1900000
F;6705581;38;1659322;1;8000000
M;346446;48;137582;3;1300000
F;503224;45;1019010;2;6500000
M;48394;42;4891275;2;4500000
M;174103;47;6470610;2;6800000
M;560802;40;258677;1;2000000
M;762229;36;1116144;0;5200000
M;337668;46;1150000;2;6000000
M;33931;42;23611;1;2200000
F;57478;45;258874;2;1400000
M;39703;41;180893;1;6100000
F;107808;52;248234;1;1500000
F;6326894;35;7;1;5900000
M;60194;52;1111989;1;1600000
M;966367;54;187084;1;8000000
M;170179;37;285668;1;1600000
M;1035383;50;3210602;3;1000000
F;4453;43;218977;1;5100000
M;854936;40;739107;2;550000
F;142807;48;201343;0;2700000
F;516383;32;171642;1;2100000
M;575653;38;292058;1;1900000
M;2034861;42;1664407;1;3800000
M;88686;47;410837;1;7000000
M;286587;46;311619;1;1900000
M;5041906;41;174492;1;8000000
M;90730;48;502370;1;3500000
M;53401;43;416132;3;1800000
F;49585;44;226538;1;8000000
M;19962;45;1304671;1;8000000
M;362175;32;332823;1;1200000
M;52979;55;2084626;1;3600000
M;844953;36;1161571;1;6400000
F;29844;47;111632;1;4700000
M;99917;49;530479;1;2500000
F;577642;56;1439813;3;800000
F;469305;48;2202;1;2000000
F;95805;26;175625;1;1700000
F;113789;47;616367;1;4900000
M;149825;46;937320;0;8000000
F;489438;35;1059401;1;1300000
F;6335996;24;364949;0;3100000
M;7091284;42;960722;1;1700000
M;1538618;47;361954;2;5500000
M;194549;52;13792;1;5500000
M;69049;38;952326;2;8000000
F;4040059;31;193397;0;1500000
F;2953059;44;303285;1;2500000
M;999313;44;805502;2;5100000
F;226297;53;801462;1;3100000
F;3711772;44;77816;1;5000000
F;523;59;788924;1;4100000
M;729041;53;20567;1;5700000
M;1266030;42;344859;1;2400000
F;436935;55;169244;0;1900000
F;23049;41;1212460;3;2000000
F;113399;38;2556;1;1200000
M;54965;45;0;1;5000000
F;4430;51;429191;0;6200000
M;8975;47;849041;0;1300000
F;4889897;33;274645;0;1100000
M;601643;29;172486;2;3700000
M;111856;43;340990;2;3700000
M;182901;47;3307;3;800000
F;79682;52;1127457;1;1400000
M;170122;31;88133;1;2400000
M;582136;40;2904265;1;8000000
M;15391;34;121837;1;6000000
M;290450;40;270070;1;1600000
M;1242534;39;804761;2;8000000
F;91397;49;78134;1;6500000
M;45088;50;329491;2;1300000
M;552141;41;570802;2;3900000
M;232864;52;488399;1;1700000
F;1038482;47;522492;3;4200000
M;407430;40;69135;1;5100000
F;395930;42;434740;1;3800000
M;31383;40;1844907;2;6900000
F;1739114;43;613;3;8000000
M;681128;53;1323782;2;1300000
F;4493663;32;1056114;1;2300000
M;3081114;41;696252;2;1200000
F;729324;44;1557228;1;1500000
F;248181;38;3;1;1700000
F;21951;50;194508;1;4100000
M;10834;32;200799;1;1200000
M;187937;35;7613;1;1200000
M;31507;58;440220;1;1900000
M;3944117;42;527109;1;3500000
M;868579;56;5487853;0;5500000
M;21237;41;114170;1;3300000
M;595891;47;522534;1;3200000
F;441388;55;611190;2;2600000
F;447633;57;2594855;1;3100000
F;43060;45;361957;1;900000
F;726731;48;392706;1;3400000
M;365451;45;286144;1;3800000
F;36358;38;186294;1;900000
F;1937715;40;501509;1;3600000
M;32287;52;713677;1;8000000
M;5710362;40;1336252;2;700000
M;285856;29;555980;0;1600000
M;36853;46;289039;1;4300000
F;48051;42;376334;1;4400000
M;931015;37;1985919;1;4100000
M;360151;54;779;0;2000000
M;1298365;44;22426;2;1700000
M;247766;52;650713;1;1400000
F;319643;37;705105;1;550000
M;342149;47;396574;1;1700000
F;1033182;52;933367;1;4900000
M;2306;51;1625324;1;4200000
F;264480;50;296104;1;3500000
F;276651;53;231622;1;1800000
F;188375;50;363043;1;1200000
M;472695;33;200590;2;3100000
M;1286106;47;181441;1;6600000
M;427654;47;819208;1;1700000
M;180261;28;480107;2;4000000
F;1095538;40;185097;3;4500000
M;522812;33;1030328;1;2700000
M;264567;51;474965;1;2700000
M;447137;55;491413;1;5300000
M;510103;23;201457;1;2200000
F;465052;53;203808;3;1800000
F;134447;54;617014;1;1700000
M;171914;58;1243693;0;2200000
M;827492;47;750883;1;2900000
M;15308;50;225590;1;2600000
M;253211;47;545873;1;1600000
M;293976;47;369620;1;2400000
F;680280;33;181280;1;3700000
F;18445;50;0;0;2000000
M;79958;48;504567;2;5000000
F;303602;54;950;0;2000000
F;3346030;41;877757;0;8000000
F;866585;28;2079674;1;2400000
M;5128367;38;3039;1;5100000
M;459852;50;242052;1;2600000
M;1587801;40;4214048;1;8000000
F;251533;52;41;1;2400000
M;31175;51;6834441;3;8000000
F;431061;42;3255;1;2100000
M;388941;46;384473;2;600000
F;1261694;51;190503;2;8000000
M;1353052;47;918040;3;7800000
M;2128270;43;305942;1;1900000
M;935002;45;327688;2;5700000
M;64041;39;54386;1;2800000
F;1622840;53;80176;3;8000000
M;173377;51;508189;1;2500000
